x,y,Ind,Ind_0_3,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_4_5,Ind_55_64,Ind_65_79,Ind_6_10,Ind_80p,Ind_inc,Ind_snv,Men,Men_pauv
91,97,27,0.8,3,0.5,3.8,3.4,0,3.4,8.2,1.2,2.7,0,505543.69999999995,13.4,3.4
91,98,9,0.30000000000000004,0.6000000000000001,0.30000000000000004,0.8,2.3,0.1,1.9,1.5,0.5,0.6000000000000001,0.1,158896.5,4.199999999999999,0.8999999999999999
118,121,4,0,0.6,0.1,0.4,1.4,0,0.3,0.8,0.3,0.1,0,72099.8,1.4,0.3
118,111,6,0,0.5,0.5,0.3,1.6,0.4,0.4,1.3,0.5,0.3,0.2,110202.3,2,0.4
118,68,1,0,0,0.1,0.1,0.1,0,0.2,0.3,0.1,0.1,0,16195.4,0.6,0.4
118,125,7,0,1.2,0.2,0.6,1.9,0.1,0.9,0.7,0.9,0.3,0.2,112554.5,2.2,0.7
118,116,4,0,0.3,0.3,0.2,1.1,0.3,0.3,0.9,0.3,0.2,0.1,73468.2,1.3,0.3
118,117,5,0,0.5,0.5,0.2,1.3,0.3,0.3,1.1,0.5,0.2,0.1,91835.2,1.7,0.3
118,70,4,0.1,0,0.2,0.4,0.5,0.1,0.8999999999999999,1.3,0.2,0.30000000000000004,0,64781.6,2.5,1.5
118,64,1,0.1,0,0,0.1,0.2,0.1,0.3,0.1,0,0.1,0,14449.9,0.4,0.1
118,65,5,0.3,0.2,0.2,0.5,0.8,0.3,1.4,0.7,0,0.6,0,72249.4,2.1,0.6
92,99,12,0.4,0.8,0.6,1.9,2.7,0.3,1.2,1.8,1.1,1.2,0,211031.9,3.7,0.8
92,101,13,0.4,0.9,0.7,2.1,2.9,0.3,1.3,1.9,1.2,1.3,0,228617.9,4,0.8
92,116,4,0.2,0.4,0.2,0.8,0.7,0.2,0.4,0.5,0.3,0.2,0.1,74888.3,1.1,0
92,117,18,1.1,1.8,0.7000000000000001,3.8000000000000003,3.0999999999999996,0.7000000000000001,1.8,2.2,1.6,0.8,0.4,336997.2,5.1,0.2
92,91,1,0,0.1,0.1,0.1,0.3,0,0.1,0.1,0.1,0.1,0,14791.5,0.4,0.2
92,118,15,0.8999999999999999,1.1,0.8999999999999999,2.8000000000000003,2.5,0.2,1.9000000000000001,1.9000000000000001,2.1,0.5,0.2,340386.9,5.1,0.8999999999999999
92,92,3,0.1,0.4,0.2,0.2,0.9,0,0.2,0.4,0.1,0.4,0.1,44374.5,1.2,0.5
92,94,5,0.1,0.7,0.4,0.4,1.5,0,0.4,0.6,0.2,0.6,0.1,73957.5,1.9,0.8
92,96,18,0.6000000000000001,2.8,0,2.4,5.8,0.6000000000000001,1.2,1.8,2.2,0,0.6000000000000001,306239.4,7,3.5
92,97,7,0.2,1.1,0,0.9,2.3,0.2,0.5,0.7,0.9,0,0.2,119093.1,2.7,1.4
92,98,13,0.4,0.8999999999999999,0.7,2,2.9,0.30000000000000004,1.3,1.9,1.3,1.3,0,228617.9,4,0.8999999999999999
119,67,2,0.1,0.1,0.1,0.2,0.3,0.1,0.6,0.3,0,0.2,0,28899.8,0.8,0.2
119,78,2,0,0,0.1,0.2,0.2,0,0.5,0.7,0.1,0.2,0,32390.8,1.3,0.7
119,115,2,0,0.2,0.2,0.1,0.5,0.1,0.1,0.5,0.2,0.1,0,36734.1,0.7,0.1
119,61,8,0.4,0.4,0.4,0.8999999999999999,1.2,0.4,2.3,1.1,0,0.8999999999999999,0,115599.1,3.3,0.8999999999999999
119,62,3,0.2,0.1,0.1,0.3,0.5,0.2,0.9,0.4,0,0.3,0,43349.7,1.3,0.3
119,63,2,0.1,0.1,0.1,0.2,0.3,0.1,0.6,0.3,0,0.2,0,28899.8,0.8,0.2
119,64,2,0.1,0.1,0.1,0.2,0.3,0.1,0.6,0.3,0,0.2,0,28899.8,0.8,0.2
93,113,1,0.1,0.1,0,0.2,0.2,0,0.1,0.1,0.1,0.1,0,18722.1,0.3,0
93,103,7,0.2,0.5,0.4,1.1,1.6,0.1,0.7,1,0.7,0.7,0,123101.9,2.2,0.4
93,115,3,0.2,0.3,0.1,0.6,0.5,0.1,0.3,0.4,0.3,0.1,0.1,56166.2,0.9,0
93,127,6,0,0.3,0.4,0.8,1.1,0.1,1,1.3,0.1,0.9,0,122002.9,2.6,0.5
93,116,4,0.2,0.4,0.2,0.8,0.7,0.2,0.4,0.5,0.3,0.2,0.1,74888.3,1.1,0
93,117,37,2.3,3.5999999999999996,1.4000000000000001,7.699999999999999,6.4,1.4000000000000001,3.7,4.6,3.2,1.7999999999999998,0.8999999999999999,692716.4,10.5,0.5
93,118,18,1,1.3,1,3.3,2.9000000000000004,0.30000000000000004,2.3,2.3,2.6,0.7,0.30000000000000004,408464.2,6.2,1
93,91,3,0.1,0.4,0.2,0.2,0.9,0,0.2,0.4,0.1,0.4,0.1,44374.5,1.2,0.5
93,92,7,0.2,1,0.5,0.5,2,0,0.6,0.7999999999999999,0.4,0.7999999999999999,0.2,103540.4,2.6999999999999997,1.2
93,97,6,0.2,0.9,0,0.8,1.9,0.2,0.4,0.6,0.8,0,0.2,102079.8,2.3,1.2
93,98,33.5,1.1,2.4,1.8,5.4,7.5,0.7,3.2,5,3.2,3.2,0,589130.6,10.4,2.2
94,110,2,0.1,0.1,0.1,0.2,0.5,0,0.3,0.2,0.2,0.2,0.1,42217.4,0.7,0.2
94,89,1,0,0.1,0.1,0.1,0.3,0,0.1,0.1,0.1,0.1,0,14791.5,0.4,0.2
94,79,1,0,0.2,0.1,0.1,0.3,0,0.1,0.2,0,0,0,16499.1,0.3,0.1
94,90,1.5,0,0.2,0.1,0.1,0.4,0,0.1,0.2,0.1,0.2,0.1,22187.2,0.6,0.3
94,119,1,0.1,0.1,0.1,0.2,0.2,0,0.1,0.1,0.1,0,0,22692.5,0.3,0.1
94,109,1,0,0,0.1,0.1,0.2,0,0.2,0.1,0.1,0.1,0.1,21108.7,0.3,0.1
94,95,6,0.2,0.9,0.4,0.4,1.7,0,0.5,0.7,0.3,0.7,0.2,88748.9,2.3,1
94,120,2,0.1,0.1,0.1,0.4,0.3,0,0.3,0.3,0.3,0.1,0,45384.9,0.7,0.1
95,122,11,0.6,0.8,0.6,2,1.8,0.2,1.4,1.4,1.6,0.4,0.2,249617,3.8,0.6
95,101,3,0.1,0.2,0.1,0.5,0.7,0.1,0.3,0.4,0.3,0.3,0,52758,0.9,0.2
95,117,4,0.2,0.4,0.2,0.8,0.7,0.2,0.4,0.5,0.3,0.2,0.1,74888.3,1.1,0
95,118,5,0.3,0.4,0.3,0.9,0.8,0.1,0.6,0.6,0.7,0.2,0.1,113462.3,1.7,0.3
95,119,1,0.1,0.1,0.1,0.2,0.2,0,0.1,0.1,0.1,0,0,22692.5,0.3,0.1
95,109,8,0.3,0.3,0.3,1,1.9,0.2,1.2,0.9,0.7,0.9,0.3,168869.5,2.7,0.7
95,95,5,0.1,0.7,0.4,0.4,1.5,0,0.4,0.6,0.2,0.6,0.1,73957.5,1.9,0.8
95,96,29,0,5.8,0.7,1.5,8,0.7,3.6,3.6,1.4,2.2,1.5,342889.7,10.9,5.1
95,97,6,0,1.2,0.1,0.4,1.7,0.1,0.7,0.7,0.2,0.5,0.4,70942.7,2.3,1.1
96,116,2,0.1,0.2,0.1,0.4,0.3,0.1,0.2,0.2,0.2,0.1,0.1,37444.1,0.6,0
96,117,8,0.5,0.8,0.30000000000000004,1.7000000000000002,1.4,0.30000000000000004,0.8,1,0.7,0.30000000000000004,0.2,149776.5,2.3,0.1
96,119,2,0.1,0.1,0.1,0.4,0.3,0,0.3,0.3,0.3,0.1,0,45384.9,0.7,0.1
96,94,7,0.2,1,0.5,0.5,2,0,0.6,0.8,0.3,0.9,0.2,103540.4,2.7,1.2
96,96,5,0,1,0.1,0.30000000000000004,1.4000000000000001,0.1,0.6,0.6,0.2,0.4,0.30000000000000004,59118.899999999994,1.9,0.8999999999999999
97,112,1,0,0,0.1,0.1,0.2,0,0.2,0.1,0.1,0.1,0.1,21108.7,0.3,0.1
97,113,2,0.1,0.1,0.1,0.2,0.5,0,0.3,0.2,0.2,0.2,0.1,42217.4,0.7,0.2
97,116,4,0.2,0.2,0.2,0.5,0.9,0.1,0.6,0.4,0.3,0.4,0.2,84434.7,1.4,0.3
98,121,10,0,0.4,0.6,1.3,1.9,0.2,1.7,2.1,0.30000000000000004,1.5,0,203338.1,4.3,0.8999999999999999
98,112,7,0.3,0.3,0.3,0.9,1.6,0.2,1,0.7,0.6,0.8,0.3,147760.8,2.4,0.6
98,96,1,0,0.1,0.1,0.1,0.3,0,0.1,0.1,0.1,0.1,0,14791.5,0.4,0.2
99,110,2,0.1,0.1,0.1,0.2,0.5,0,0.3,0.2,0.2,0.2,0.1,42217.4,0.7,0.2
99,111,7,0.3,0.3,0.3,0.9,1.6,0.2,1,0.7,0.6,0.8,0.3,147760.8,2.4,0.6
99,123,11,0,0.5,0.6000000000000001,1.4,2.2,0.2,1.9,2.3,0.30000000000000004,1.6,0,223672,4.7,0.9000000000000001
99,93,1,0,0.1,0.1,0.1,0.3,0,0.1,0.1,0.1,0.1,0,14791.5,0.4,0.2
120,77,1,0,0,0.1,0.1,0.1,0,0.2,0.3,0.1,0.1,0,16195.4,0.6,0.4
120,79,1,0,0,0.1,0.1,0.1,0,0.2,0.3,0.1,0.1,0,16195.4,0.6,0.4
120,69,1,0,0,0.1,0.1,0.1,0,0.2,0.3,0.1,0.1,0,16195.4,0.6,0.4
120,121,4,0,0.6,0.1,0.4,1.4,0,0.3,0.8,0.3,0.1,0,72099.8,1.4,0.3
120,113,4,0,0.3,0.3,0.2,1.1,0.3,0.3,0.9,0.3,0.2,0.1,73468.2,1.3,0.3
120,116,7,0,0.7,0.7,0.30000000000000004,1.8,0.4,0.4,1.6,0.7,0.30000000000000004,0.1,128569.29999999999,2.4,0.4
120,117,9,0,0.8,0.8,0.4,2.4000000000000004,0.6000000000000001,0.6000000000000001,1.9,0.8,0.4,0.30000000000000004,165303.4,3,0.6000000000000001
120,118,5,0,0.8,0.1,0.5,1.8,0,0.3,1,0.3,0.2,0,90124.7,1.8,0.3
120,119,5,0,0.8,0.2,0.5,1.7,0,0.30000000000000004,1,0.30000000000000004,0.2,0,90124.70000000001,1.8,0.30000000000000004
120,61,3,0.2,0.1,0.1,0.3,0.5,0.2,0.9,0.4,0,0.3,0,43349.7,1.3,0.3
120,62,1,0.1,0,0,0.1,0.2,0.1,0.3,0.1,0,0.1,0,14449.9,0.4,0.1
