x,y,val
18,209,3
42,33,319
49,143,92
13,115,93
25,3,144
29,105,28
16,184,86
29,12,55
20,183,14
29,139,104
26,15,261
31,61,240
30,120,38
21,127,25
8,81,331
1,169,20
5,55,49319
18,124,31
15,6,158
3,42,112
24,58,11445
6,206,1
40,135,7
30,61,39
2,182,5
33,163,1
16,94,67
43,1,92
45,141,68
12,56,164
0,102,54
29,102,179
8,197,86
16,47,146
0,84,3809
17,165,105
27,89,193
41,107,380
21,83,372
11,59,150
35,42,515
14,118,45
38,116,12
0,199,6
25,4,60
37,125,40
27,19,32
1,110,25
0,138,79
31,152,25
21,168,40
42,6,791
15,9,380
43,107,94
8,166,54
27,37,17
51,4,496
44,108,37
17,109,25
34,37,4918
16,195,1
21,160,64
16,210,62
19,152,8
13,127,11
22,85,93
3,148,21
2,113,28
3,141,994
13,120,51
16,25,201
9,119,75
0,134,72
8,141,62
24,109,67
13,50,178
45,120,51
19,208,13
50,15,85
27,49,51
31,51,85
8,2,106
4,157,11
17,140,136
23,54,2512
34,140,47
37,158,108
17,123,171
16,82,209
29,11,171
30,175,12
15,130,42
44,138,253
19,175,14
1,136,7
0,108,113
50,3,115
34,144,44
16,211,21
11,93,121
16,21,67
1,98,115
18,211,15
15,78,127
7,159,1
26,60,561
19,112,131
2,54,255
41,148,33
23,117,37
21,84,211
24,151,37
31,147,24
45,130,44
29,179,6
11,5,2348
32,174,4
6,131,40
16,52,3
57,0,137
20,110,117
15,183,23
32,133,30
44,28,112
21,32,156
10,206,18
5,142,63
47,32,42
16,209,5
3,206,7
11,138,41
20,120,23
39,109,57
42,105,18
22,98,277
0,168,8
11,49,84
39,31,275
21,24,936
24,42,3781
26,55,4
5,182,2
17,80,5
3,111,7
15,105,70
17,25,137
18,82,106
3,133,60
14,97,44
10,57,1093
1,168,42
37,39,535
8,213,28
43,26,474
8,47,1068
18,187,9
9,214,23
44,35,79
26,148,20
9,35,203
19,18,61
19,119,58
25,30,115
17,148,107
25,167,9
33,157,18
37,3,547
26,23,308
50,12,240
20,1,278
24,114,104
27,141,50
39,150,129
18,173,7
15,170,64
40,16,312
22,45,21
28,25,2
17,81,1146
5,126,65
21,13,205
44,27,107
16,86,880
16,205,6
39,132,31
28,156,3840
7,83,565
11,111,47
25,107,48
28,30,67
34,165,1
48,142,26
24,17,463
30,133,150
49,142,31
34,108,15
21,29,142
10,114,30
32,95,23
8,58,4340
23,1,1062
0,181,20
18,83,1082
17,24,101
2,165,7
4,43,90
17,166,154
21,120,28
31,13,5
24,141,183
7,153,141
17,115,21
2,75,9137
21,39,180
28,37,39
7,199,18
18,42,18
16,138,258
29,95,263
28,9,567
20,19,181
29,22,57
2,80,617
52,144,63
19,32,106
6,179,6
4,130,91
2,126,214
10,39,21
14,148,83
7,108,32
24,156,31
4,121,894
41,141,508
34,168,2
30,28,101
34,94,535
9,223,1
9,211,16
18,174,12
6,208,61
20,47,277
7,164,241
2,131,31
9,130,19
20,54,246
29,147,22
26,63,29
15,37,3
21,42,163
15,126,29
31,4,20
6,128,89
25,132,69
35,126,67
39,136,95
17,52,41
29,103,63
19,4,187
11,119,25
4,107,19
44,126,5
6,36,4
8,159,2
6,122,41
26,122,154
7,141,77
42,123,22
11,12,68
52,146,24
10,169,79
9,184,4
31,149,49
44,112,1944
30,53,7
16,37,5
11,116,86
22,0,144
42,0,113
0,157,23
25,32,77
28,153,80
2,228,19
53,17,20
13,108,4
13,55,2963
9,192,32
24,180,23
1,48,14
25,162,3
41,13,233
40,32,239
17,104,68
1,80,5743
14,60,82
12,205,24
0,212,40
16,117,92
7,48,359
28,96,327
46,26,15
18,195,2
5,50,202
23,185,4
13,178,37
53,137,17
5,238,1
31,52,26
18,22,170
0,182,2
11,81,659
14,133,83
15,61,48
23,14,78
1,90,61
17,32,5
23,11,4843
15,206,7
17,7,243
12,165,4
3,140,45
18,188,13
26,108,19
18,108,42
1,109,47
30,159,11
10,141,10
39,0,5
48,22,31
11,141,9
19,130,5
18,205,13
14,140,208
17,26,67
33,46,315
18,164,25
39,101,196
26,161,16
45,124,100
8,108,43
4,44,80
34,150,32
37,46,937
43,111,101
31,128,37
43,25,70
20,184,28
13,96,171
32,16,135
31,118,37
27,35,20
16,90,149
2,205,7
5,185,7
49,128,196
12,80,842
25,118,132
21,54,97
33,126,30
34,0,854
23,116,18
9,121,86
26,101,37
20,196,6
40,24,275
31,126,19
16,78,17
30,1,164
50,133,53
48,136,73
37,104,5
10,42,1293
14,174,109
19,162,30
41,149,27
7,146,38
4,147,58
18,30,75
3,204,59
32,141,7
41,29,139
39,38,13
1,195,3
4,110,210
45,64,148
9,76,894
49,129,101
13,35,3
11,50,23
40,11,1099
13,136,377
8,148,28
10,143,38
26,132,32
22,175,36
9,194,9
20,80,1
43,130,107
3,45,26
20,209,13
26,168,25
6,183,6
17,147,44
39,119,111
24,103,20
42,63,27
0,0,182
15,205,70
29,32,1032
18,36,135
22,47,5
8,52,56
13,184,7
36,141,230
0,174,4
26,62,261
27,135,32
14,80,282
19,54,394
21,102,10
42,147,260
17,0,238
9,102,18
31,12,50
36,106,3
51,146,23
10,106,11
38,62,1276
45,117,168
4,135,115
11,132,134
21,63,15
22,22,40
28,60,20
4,80,7647
55,148,3
35,146,38
18,20,96
27,44,194
28,24,347
34,40,468
15,43,56
9,39,63
43,133,115
33,3,125
9,56,367
15,23,30
8,212,24
28,42,198
3,181,32
15,86,79
4,103,18
2,105,60
4,195,18
9,38,50
7,86,347
45,128,29
21,7,85
11,33,12
35,101,8441
7,41,10
6,222,12
34,149,78
15,144,135
53,14,5
24,173,4
16,42,80
12,178,16
7,170,27
3,35,32
0,91,160
3,93,114
3,123,1728
4,142,48
27,167,21
19,5,224
23,156,1
23,113,224
20,94,3175
22,106,87
3,118,3261
12,51,289
14,26,90
21,34,1077
18,53,137
30,170,69
10,124,99
31,116,152
34,5,313
