x,y,Population
5845,1540,0
5850,1540,0
5855,1540,843
5860,1540,239
5865,1540,0
5875,1540,0
5880,1540,0
4715,1545,4180
4720,1545,751
4725,1545,78
4730,1545,42
4735,1545,614
4740,1545,1290
4745,1545,18009
4750,1545,2349
4755,1545,688
4760,1545,165
4765,1545,97
4770,1545,93
4775,1545,1626
4780,1545,1199
5490,1545,0
5495,1545,0
5500,1545,0
5505,1545,0
5850,1545,0
5855,1545,0
5860,1545,0
5865,1545,0
5870,1545,0
5875,1545,0
5880,1545,0
4710,1550,18
4715,1550,933
4720,1550,1319
4725,1550,44295
4730,1550,19328
4735,1550,1075
4740,1550,40836
4745,1550,20623
4750,1550,1476
4755,1550,1417
4760,1550,68
4765,1550,56
4770,1550,399
4775,1550,18106
4780,1550,29908
4785,1550,0
5485,1550,0
5490,1550,301
5495,1550,262
5500,1550,0
5505,1550,0
5870,1550,0
5875,1550,643
5880,1550,104
5885,1550,0
4705,1555,0
4710,1555,819
4715,1555,702
4720,1555,560
4725,1555,7747
4730,1555,7092
4735,1555,266
4740,1555,219
4745,1555,26
4750,1555,575
4755,1555,137
4760,1555,63
4765,1555,390
4770,1555,409
4775,1555,490
4780,1555,181
4785,1555,960
4790,1555,0
5480,1555,0
5485,1555,1
5490,1555,1164
5495,1555,45
5500,1555,0
5870,1555,0
5875,1555,197
5880,1555,3184
5885,1555,0
2925,1560,0
2930,1560,57233
2935,1560,25478
2940,1560,0
4670,1560,0
4675,1560,0
4695,1560,0
4700,1560,35
4705,1560,128
4710,1560,28
4715,1560,26
4720,1560,8256
4725,1560,168
4730,1560,2481
4735,1560,789
4740,1560,5718
4745,1560,4
4750,1560,214
4755,1560,245
4760,1560,111
4765,1560,63
4770,1560,73
4775,1560,12
4780,1560,60
4785,1560,5529
4790,1560,1624
4795,1560,163
4800,1560,0
5480,1560,0
5485,1560,87
5490,1560,289
5495,1560,0
5500,1560,81
5505,1560,0
5865,1560,70
5870,1560,19
5875,1560,980
5880,1560,0
5885,1560,0
2920,1565,0
2925,1565,165
2930,1565,738
2935,1565,0
2940,1565,0
4660,1565,0
4665,1565,328
4670,1565,31734
4675,1565,5587
4680,1565,33
4685,1565,56
4690,1565,987
4695,1565,14491
4700,1565,59840
4705,1565,1
4710,1565,29
4715,1565,19
4720,1565,9
4725,1565,3018
4730,1565,57
4735,1565,1273
4740,1565,250
4745,1565,48
4750,1565,3146
4755,1565,1029
4760,1565,8066
4765,1565,54
4770,1565,4130
4775,1565,3155
4780,1565,241
4785,1565,944
4790,1565,2904
4795,1565,1244
4800,1565,0
5480,1565,0
5485,1565,618
5490,1565,417
5495,1565,1
5500,1565,52
5505,1565,0
5865,1565,0
5870,1565,86
5875,1565,2
5880,1565,0
2925,1570,0
4645,1570,0
4650,1570,426
4655,1570,14
4660,1570,91
4665,1570,173
4670,1570,201
4675,1570,25
4680,1570,0
