x,y,0_15,0_5,100_,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,m,pop
97,7,0,11,0,3,6,6,6,7,0,6,3,7,3,7,3,6,9,3,0,0,0,42,35,77
97,8,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,0,12,3,15
97,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
97,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
97,27,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,9
97,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
97,34,0,0,0,3,3,0,4,0,0,0,3,3,0,5,0,0,6,0,3,0,0,12,14,26
97,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3
97,49,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,5,7,12
97,50,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,7,6,13
97,52,0,3,0,0,0,3,0,0,0,3,3,3,0,0,6,0,3,0,3,0,0,10,12,22
97,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
98,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,10,9,19
98,1,0,0,0,0,3,0,0,3,3,3,0,0,0,0,0,3,10,3,0,0,0,13,15,28
98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
98,4,11,0,0,3,0,0,0,0,6,3,3,0,6,3,6,3,3,0,0,0,0,22,26,48
98,5,8,3,0,0,0,3,3,9,6,5,0,7,3,4,11,7,3,0,3,0,0,36,42,78
98,7,0,7,0,0,6,9,6,7,0,3,5,9,3,7,3,4,8,3,0,0,0,38,48,86
98,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,9
98,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
98,31,0,0,0,0,0,3,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,3,6,9
98,35,0,4,0,3,3,0,8,8,3,4,3,12,0,14,8,12,5,4,0,0,0,49,62,111
98,43,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,6,9
98,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
98,52,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,9,12
98,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
99,1,9,3,0,3,6,3,0,3,3,6,4,6,9,0,9,6,12,3,3,0,0,43,44,87
99,2,0,3,0,3,3,6,3,0,0,0,3,0,3,5,0,6,0,3,0,0,0,14,16,30
99,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
99,5,0,0,0,0,0,0,6,0,0,0,0,3,0,3,7,0,0,0,3,0,0,10,20,30
99,9,11,0,0,4,3,0,0,3,3,8,6,4,9,0,3,0,6,6,3,0,0,31,35,66
99,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,3
99,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,6
99,34,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,0,0,0,6,0,6
99,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,50,3,3,0,0,3,0,0,6,3,3,0,4,3,0,3,3,6,3,3,0,0,20,19,39
99,52,0,0,0,0,0,0,0,3,0,0,3,3,0,3,3,3,0,0,0,0,0,9,0,9
99,53,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,6,9
99,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
99,57,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,3
100,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,3,3,0,0,0,8,10,18
100,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,8,12
100,4,0,3,0,0,0,0,3,3,0,6,6,6,6,3,3,6,0,0,0,0,0,22,25,47
100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,0,3,0,0,0,0,3,0,3,6,0,0,3,0,3,3,0,3,0,0,0,10,11,21
100,10,0,0,0,0,0,0,0,0,3,0,9,6,0,0,3,0,3,0,0,0,0,3,15,18
100,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,6
100,24,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,3,6
100,29,0,0,0,0,0,0,9,3,0,3,0,0,3,3,0,0,3,0,0,0,0,14,13,27
100,30,4,5,0,0,0,4,4,6,3,3,3,0,6,7,3,6,6,0,0,0,0,28,36,64
100,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,6,3,9
100,35,0,0,0,3,3,0,0,3,3,0,0,3,0,3,0,0,0,0,0,0,0,5,7,12
100,36,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,6
100,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5
100,46,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4
100,49,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4
