X_MIN;Y_MIN;TOT_P
5004000;4922000;9
5014000;4922000;29
5024000;4922000;32
5034000;4922000;79
5044000;4922000;12
5054000;4922000;55
5064000;4922000;9
5074000;4922000;13
5084000;4922000;32
5094000;4922000;106
5104000;4922000;39
5114000;4922000;23
5124000;4922000;25
5134000;4922000;82
5144000;4922000;18
5154000;4922000;61
5164000;4922000;54
5174000;4922000;11
5184000;4922000;19
2774000;4912000;1655
2784000;4912000;2772
2814000;4912000;12557
2824000;4912000;429
2834000;4912000;5
2844000;4912000;50
4474000;4912000;17
4504000;4912000;20708
4514000;4912000;20048
4524000;4912000;3691
4534000;4912000;99
4544000;4912000;1441
4554000;4912000;6429
