X_MIN000;Y_MIN000;TOT_P
3312000;3315000;38
3312000;3316000;28
3312000;3317000;26
3313000;3278000;3
3313000;3279000;8
3313000;3280000;92
3313000;3281000;114
3313000;3282000;220
3313000;3283000;46
3313000;3286000;17
3313000;3287000;51
3313000;3288000;51
3313000;3289000;42
3313000;3291000;42
3313000;3292000;16
3313000;3293000;133
3313000;3294000;511
3313000;3296000;10
3313000;3297000;10
3313000;3298000;13
3313000;3299000;21
3313000;3302000;29
3313000;3303000;30
3313000;3304000;6
3313000;3309000;8
3313000;3310000;5
3313000;3312000;23
3313000;3313000;7
3313000;3314000;8
3313000;3315000;54
3313000;3316000;40
3313000;3318000;1
3314000;3281000;191
3314000;3282000;178
3314000;3283000;47
3314000;3284000;47
3314000;3285000;206
3314000;3286000;34
3314000;3287000;100
3314000;3289000;42
3314000;3290000;4
3314000;3291000;18
3314000;3294000;44
3314000;3295000;33
3314000;3296000;327
3314000;3297000;106
3314000;3298000;7
3314000;3299000;12
3314000;3301000;28
3314000;3302000;30
3314000;3304000;25
3314000;3310000;52
3314000;3311000;17
3314000;3312000;6
3314000;3313000;17
3314000;3314000;5
3314000;3317000;26
3314000;3318000;6
3315000;3281000;85
3315000;3282000;68
3315000;3283000;12
3315000;3284000;18
3315000;3285000;33
3315000;3287000;17
3315000;3288000;19
3315000;3289000;28
3315000;3290000;36
3315000;3291000;86
3315000;3293000;1
3315000;3294000;20
3315000;3295000;10
3315000;3296000;19
3315000;3298000;32
3315000;3299000;40
3315000;3302000;72
3315000;3303000;4
3315000;3305000;8
3315000;3310000;57
3315000;3311000;33
3315000;3312000;15
3315000;3313000;16
3315000;3314000;65
3315000;3315000;15
3315000;3316000;15
3315000;3317000;9
3316000;3281000;18
3316000;3282000;12
3316000;3283000;30
3316000;3284000;32
3316000;3285000;2
3316000;3286000;19
3316000;3287000;7
3316000;3289000;115
3316000;3290000;2
3316000;3291000;166
3316000;3293000;49
3316000;3294000;62
3316000;3296000;25
3316000;3297000;26
3316000;3299000;34
3316000;3300000;109
3316000;3301000;62
3316000;3302000;19
3316000;3304000;54
3316000;3310000;15
3316000;3311000;5
3316000;3312000;7
3316000;3313000;15
3316000;3314000;6
3316000;3317000;1
3316000;3319000;11
3317000;3281000;17
3317000;3283000;23
3317000;3284000;138
3317000;3285000;6
3317000;3287000;21
3317000;3288000;6
3317000;3289000;36
3317000;3291000;31
3317000;3294000;97
3317000;3295000;6
3317000;3296000;2
3317000;3297000;31
3317000;3298000;18
3317000;3301000;122
3317000;3302000;9
3317000;3303000;16
3317000;3304000;40
3317000;3305000;38
3317000;3310000;40
3317000;3311000;25
3317000;3312000;24
3317000;3313000;20
3317000;3315000;2
3317000;3316000;16
3317000;3317000;9
3317000;3318000;33
3317000;3319000;87
3317000;3320000;41
3318000;3281000;11
3318000;3283000;63
3318000;3284000;72
3318000;3285000;11
3318000;3286000;227
3318000;3287000;61
3318000;3288000;16
3318000;3289000;17
3318000;3290000;8
3318000;3291000;11
3318000;3292000;8
3318000;3293000;52
3318000;3295000;25
3318000;3296000;29
3318000;3297000;29
3318000;3298000;34
3318000;3300000;7
3318000;3302000;2
3318000;3305000;63
3318000;3309000;13
3318000;3310000;12
3318000;3311000;28
3318000;3312000;21
3318000;3313000;50
3318000;3314000;9
3318000;3315000;10
3318000;3316000;28
3318000;3317000;9
3318000;3319000;7
3318000;3320000;36
3318000;3321000;19
3319000;3284000;6
3319000;3285000;23
3319000;3286000;10
3319000;3287000;4
3319000;3289000;93
3319000;3291000;6
3319000;3293000;38
3319000;3294000;18
3319000;3295000;49
3319000;3297000;38
3319000;3301000;35
3319000;3302000;71
3319000;3305000;28
3319000;3306000;36
3319000;3308000;11
3319000;3309000;6
3319000;3311000;31
3319000;3312000;36
3319000;3313000;140
3319000;3314000;3
3319000;3315000;3
3319000;3316000;33
3319000;3318000;16
3319000;3319000;6
3319000;3322000;19
3320000;3282000;55
3320000;3284000;5
3320000;3285000;89
3320000;3288000;59
3320000;3289000;170
3320000;3290000;217
3320000;3291000;106
3320000;3292000;6
3320000;3293000;42
3320000;3294000;16
3320000;3296000;31
3320000;3297000;13
3320000;3298000;40
3320000;3299000;46
3320000;3300000;67
3320000;3301000;30
3320000;3302000;6
3320000;3303000;8
3320000;3304000;13
3320000;3308000;26
3320000;3309000;12
3320000;3310000;11
3320000;3311000;5
3320000;3312000;26
3320000;3313000;17
3320000;3315000;37
3320000;3317000;12
3320000;3318000;12
3320000;3319000;13
3320000;3320000;6
3320000;3322000;26
3320000;3323000;25
3321000;3284000;22
3321000;3287000;15
3321000;3288000;27
3321000;3289000;75
3321000;3290000;958
3321000;3291000;36
3321000;3292000;11
3321000;3293000;21
3321000;3294000;21
3321000;3295000;14
3321000;3296000;35
3321000;3297000;7
3321000;3298000;20
3321000;3299000;21
3321000;3301000;37
3321000;3302000;30
3321000;3303000;33
3321000;3304000;13
3321000;3305000;35
3321000;3307000;76
3321000;3308000;38
3321000;3309000;5
3321000;3311000;48
3321000;3312000;37
3321000;3314000;19
3321000;3315000;1
3321000;3316000;24
3321000;3317000;10
3321000;3318000;13
3321000;3319000;52
3321000;3320000;13
3321000;3322000;68
3322000;3281000;39
3322000;3282000;131
3322000;3283000;12
3322000;3285000;6
3322000;3287000;18
3322000;3288000;20
3322000;3290000;173
3322000;3291000;62
3322000;3296000;12
3322000;3297000;36
3322000;3298000;35
3322000;3299000;19
3322000;3301000;2
3322000;3302000;127
3322000;3303000;10
