x,y,dlt,tcd
53,48,,106
53,51,,7
53,52,,50
53,53,,7
53,54,,18
53,55,,2
53,58,,26
53,59,,34
53,64,1,
53,65,1,15
53,70,1,30
53,71,,9
53,72,,31
53,73,,20
53,81,,16
53,82,,19
53,83,,10
53,88,,30
53,90,,19
53,92,,5
53,93,,37
53,94,,4
53,95,,13
53,96,,27
53,97,,10
53,98,,17
53,99,,4
53,100,,13
53,101,,6
53,102,,12
53,103,,28
53,104,,23
53,105,,15
53,106,,10
53,107,,23
53,108,,9
53,109,1,
53,110,1,59
53,111,1,31
53,112,,26
53,113,,9
53,114,1,64
53,115,,18
53,116,,24
53,117,,6
53,118,1,
53,121,,17
53,122,,24
53,124,,18
53,125,,17
53,126,,23
54,35,,118
54,36,,13
54,39,,39
54,40,,200
54,48,,22
54,49,,10
54,50,,23
54,51,,15
54,52,,11
54,54,,12
54,55,,1
54,57,,9
54,58,,8
54,59,,11
54,62,,1
54,63,,31
54,64,,1
54,65,,32
54,67,,19
54,69,,20
54,71,,23
54,72,,19
54,73,1,54
54,74,,7
54,75,,28
54,76,1,64
54,77,,24
54,81,,13
54,83,,29
54,84,,4
54,89,,5
54,90,,18
54,91,,23
54,92,,18
54,93,,14
54,95,,9
54,96,,7
54,97,,11
54,98,,12
54,99,,3
54,100,,13
54,101,,12
54,102,1,42
54,103,,16
54,104,,14
54,106,,6
54,107,,4
54,109,,27
54,110,1,73
54,111,1,80
54,112,1,62
54,113,,11
54,114,,10
54,115,,5
54,116,,4
54,117,,1
54,121,,3
54,122,,9
54,124,,51
54,125,1,62
54,126,,24
55,35,,239
55,36,,69
55,37,,16
55,39,,151
55,47,,182
55,48,,59
55,51,,4
55,52,1,15
55,55,,11
55,56,,12
55,61,,18
55,62,,10
55,63,,10
55,64,,9
55,65,,28
55,66,1,38
55,67,,9
55,71,,51
55,72,,1
55,73,,41
55,74,,40
55,75,,18
55,76,,66
55,77,1,35
55,78,,4
55,81,1,15
55,82,,16
55,83,,20
55,84,,22
55,88,,1
55,89,,39
55,90,,55
55,92,1,54
55,93,1,39
55,94,,4
55,97,,48
55,100,,21
55,101,,40
55,102,,17
55,104,,1
55,105,,14
55,106,,35
55,107,,45
55,108,,7
55,109,,17
55,110,,41
55,111,1,17
55,112,1,77
55,113,,74
55,115,,5
55,116,,37
55,117,,5
55,120,,1
55,121,,18
55,122,,23
55,124,,34
55,125,,20
55,126,,22
55,127,,20
56,21,,216
56,22,,121
56,23,,55
56,24,,154
56,25,,147
56,26,,46
56,27,,46
56,28,,217
56,35,,190
56,37,,6
56,38,,121
56,39,,252
56,44,,220
56,45,,128
56,46,,67
56,47,,68
56,48,,11
56,49,,1
56,50,,8
56,51,,34
56,52,1,29
56,53,1,35
56,54,,7
56,55,,4
56,56,,5
56,57,,20
56,58,,55
56,59,,55
56,60,,13
56,61,,7
56,62,,10
56,64,,23
56,65,,18
56,66,,47
56,67,,3
56,71,,10
56,73,,6
56,74,,4
56,76,,10
56,77,,14
56,78,,34
56,81,,3
56,82,,31
56,87,,13
56,88,1,15
56,89,1,20
56,90,1,23
56,91,,19
56,92,,16
56,93,,29
56,94,,9
56,95,,12
56,96,,27
56,97,,53
56,99,,30
56,100,,29
56,101,,20
56,102,,22
56,103,,19
56,105,,6
56,106,,45
56,107,,38
56,108,,43
56,109,,27
56,110,,3
56,111,,9
56,112,,48
56,113,,44
56,114,,11
56,115,,14
56,116,,30
56,117,,3
56,118,,5
56,119,,12
56,120,,13
56,122,,14
56,124,,12
56,125,,4
56,126,,6
56,127,,35
57,20,,186
57,21,,24
57,22,,55
57,23,,26
57,25,,8
57,26,,6
57,27,,63
57,28,,234
57,34,,197
57,35,,26
57,37,,30
57,38,,206
57,44,,52
57,45,,17
57,46,,22
57,49,,2
57,50,,20
57,52,1,
57,53,,9
57,54,1,18
57,55,,31
57,58,,3
57,59,,18
57,60,,19
57,62,,24
57,64,,18
57,68,,21
57,69,,6
57,73,,14
57,74,,10
57,77,1,23
57,78,,15
57,79,,16
57,81,,23
57,82,,12
57,85,,12
57,86,1,
57,88,1,28
57,89,1,59
57,90,,46
57,91,,14
57,93,,14
57,94,,22
57,95,,47
57,96,,54
57,99,,30
57,100,,19
57,104,,1
57,105,,20
57,107,,19
57,108,,7
57,110,,16
57,111,,36
57,112,,20
57,117,,7
57,118,,13
57,119,,8
57,120,,28
57,122,,14
57,124,,4
57,125,,10
57,126,,16
58,19,,181
58,20,,13
58,21,,12
58,22,,28
58,23,,1
58,24,,28
58,25,,2
58,26,,50
58,27,,153
58,33,,251
58,34,,117
58,35,,4
58,36,,115
58,37,,235
58,44,,46
58,51,,6
58,52,,32
58,53,,6
58,54,,6
58,55,,6
58,56,,33
58,58,,14
58,61,,13
58,62,,2
58,68,,13
58,69,,20
58,70,,9
58,76,,11
58,77,,31
58,78,,3
58,79,,3
58,81,,7
58,82,1,30
58,85,,29
58,86,,13
58,87,,63
58,88,,36
58,89,1,17
58,90,,3
58,91,,3
58,93,,3
58,94,,16
58,95,,52
58,96,,6
58,98,,17
58,99,,24
58,100,,4
58,101,,47
58,102,,25
58,103,,9
58,104,,8
58,105,,27
58,107,,4
58,108,,1
58,110,,25
58,111,,22
58,112,,5
58,113,,5
58,114,,7
58,115,,12
58,116,,30
58,117,,12
58,119,,2
58,120,,5
58,121,,14
58,122,,15
58,123,,35
58,124,,3
59,18,,189
59,19,,49
59,24,,3
59,25,,158
59,26,,230
59,32,,201
59,33,2,94
59,34,2,49
59,35,,14
59,36,,128
59,43,,182
59,44,,17
59,52,,16
59,53,,19
59,54,1,49
59,55,,2
59,56,,37
59,58,,36
59,59,,21
59,60,,8
59,61,,39
59,62,,7
59,63,,24
59,64,,1
59,65,,3
59,66,,26
59,68,,13
59,69,,40
59,70,,37
59,74,,6
59,75,,30
59,77,,27
59,78,,13
59,79,,12
59,85,,12
59,86,,41
59,87,,15
59,88,,21
59,89,,19
59,97,,3
59,98,,24
59,99,,21
59,100,1,20
