IDENTIFIER,TOTAL,WOMEN,MEN,TOTAL_0_14,WOMEN_0_14,MEN_0_14,TOTAL_15_64,WOMEN_15_64,MEN_15_64_,TOTAL_65p,WOMEN_65p,MEN_65p,INACTIVE_POPULATION,LABOUR_FORCE,BASIC_EDUCATION_OR_LESS,UPPER_SECONDARY_EDUCATION,TERTIARY_EDUCATION
1kmN2209E4983,107,55,52,17,8,9,75,42,33,15,5,10,43,47,13,53,24
1kmN2209E4984,299,158,141,42,21,21,183,89,94,74,48,26,138,119,85,139,33
1kmN2209E4985,384,191,193,67,33,34,256,122,134,61,36,25,132,185,73,183,61
1kmN2209E4986,12,6,6,D,D,D,7,D,D,D,D,D,D,D,D,D,D
1kmN2209E4987,47,21,26,7,D,D,35,17,18,5,D,D,14,26,D,25,D
1kmN2209E4988,345,176,169,60,35,25,245,117,128,40,24,16,110,175,60,183,42
1kmN2209E4989,18,8,10,D,D,D,14,7,7,D,D,D,D,D,D,D,0
1kmN2210E4880,45,22,23,5,D,D,29,15,14,11,5,6,24,16,14,19,D
1kmN2210E4881,7,D,D,D,D,D,D,D,D,0,0,0,D,D,0,D,0
1kmN2210E4884,67,33,34,14,7,7,49,22,27,D,D,D,23,30,14,30,D
1kmN2210E4885,17,6,11,0,0,0,15,5,10,D,D,D,D,D,D,D,D
1kmN2210E4886,333,163,170,32,20,12,194,87,107,107,56,51,183,118,121,133,47
1kmN2210E4949,38,18,20,0,0,0,21,8,13,17,10,7,25,13,20,14,D
1kmN2210E4950,5,D,D,D,D,D,D,D,D,0,0,0,D,D,D,D,0
1kmN2210E4953,46,24,22,8,D,D,25,13,12,13,D,D,29,D,27,D,D
1kmN2210E4955,16,8,8,5,D,D,9,D,D,D,D,D,D,D,D,D,0
1kmN2210E4956,9,D,D,D,D,D,7,D,D,0,0,0,D,D,D,D,0
1kmN2210E4972,178,92,86,15,7,8,119,62,57,44,23,21,105,57,42,102,19
1kmN2210E4981,128,74,54,17,12,5,92,53,39,19,9,10,52,59,17,69,25
1kmN2210E4982,D,D,D,0,0,0,D,D,D,0,0,0,0,D,0,D,0
1kmN2210E4983,92,47,45,15,8,7,64,31,33,13,8,5,34,43,22,48,D
