IDENTIFIER,ESTABLISHMENTS - TOTAL,ACCOMMODATION UNITS (ROOMS APARTMENTS CAMPING SITES) - TOTAL,NUMBER OF PERMANENT BEDS,TOTAL ARRIVALS,A_DOMESTIC TOURISTS - TOTAL,A_FOREIGN TOURISTS - TOTAL,A_AUSTRIAN TOURISTS,A_GERMAN TOURISTS,A_ITALIAN TOURISTS,A_SLOVENIAN TOURISTS,TOTAL NIGHTS,N_DOMESTIC TOURISTS - TOTAL,N_FOREIGN TOURISTS - TOTAL,N_AUSTRIAN TOURISTS,N_GERMAN TOURISTS,N_ITALIAN TOURISTS,N_SLOVENIAN TOURISTS
1kmN2287E4905,8,37,99,1044,801,243,4,62,20,15,3055,1294,1761,7,681,38,24
1kmN2287E4906,5,15,36,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2287E4907,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2288E4803,57,161,445,3602,214,3388,99,255,56,148,30746,1859,28887,687,2987,429,1139
1kmN2288E4804,297,778,2279,20065,2078,17987,1093,1743,369,763,145767,13675,132092,6320,13133,2125,5742
1kmN2288E4805,67,180,498,4174,153,4021,345,659,38,293,37185,1198,35987,2820,7255,385,2604
1kmN2288E4809,2,3,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2288E4814,3,7,16,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2288E4815,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2288E4816,9,22,51,393,60,333,4,43,7,27,3021,365,2656,15,437,37,210
1kmN2288E4817,98,228,664,4103,229,3874,96,464,41,183,35213,1829,33384,830,4838,320,1584
1kmN2288E4818,23,50,154,959,52,907,19,127,13,54,8617,377,8240,184,1586,159,457
1kmN2288E4819,2,2,5,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2288E4821,13,28,70,669,24,645,19,72,11,14,4703,191,4512,93,580,65,106
1kmN2288E4822,4,10,27,155,7,148,8,44,8,6,1250,27,1223,62,460,35,30
1kmN2288E4823,21,45,139,1010,44,966,19,113,31,15,7736,261,7475,133,1096,136,117
1kmN2288E4824,204,1648,4042,106421,17544,88877,1792,8506,2337,3457,384891,56938,327953,9402,54524,7738,20842
1kmN2288E4825,14,25,86,719,8,711,27,125,13,12,5531,24,5507,215,1391,62,77
1kmN2288E4826,135,327,761,19551,748,18803,501,1978,870,182,50166,1972,48194,1201,6399,2101,511
1kmN2288E4827,376,974,2480,53718,1915,51803,1452,5699,2304,697,175486,5381,170105,5102,22969,5966,3135
1kmN2288E4828,20,44,126,769,28,741,28,84,22,42,5487,191,5296,166,851,188,305
1kmN2288E4829,179,394,1194,9625,398,9227,270,1372,169,423,73467,2760,70707,1923,13260,961,3356
1kmN2288E4830,177,546,1622,29060,1334,27726,594,2761,552,950,125515,5028,120487,3218,19020,1839,6195
1kmN2288E4831,34,79,257,2016,51,1965,96,415,18,128,17389,359,17030,865,4314,144,1073
1kmN2288E4832,54,113,373,2802,65,2737,72,362,44,165,24619,512,24107,482,3726,307,1483
1kmN2288E4840,40,46,138,1711,23,1688,57,164,42,7,9533,92,9441,341,1014,292,27
1kmN2288E4841,174,226,566,13257,345,12912,178,809,336,86,45022,999,44023,536,3260,933,360
1kmN2288E4842,386,590,1385,49850,1892,47958,411,2200,1365,216,130409,3705,126704,1045,6667,3228,511
1kmN2288E4843,249,467,1200,40563,3755,36808,525,2005,1144,318,114500,7116,107384,1596,6677,3474,756
1kmN2288E4844,39,300,628,35621,5873,29748,714,1876,677,392,90450,9746,80704,2295,6386,1650,801
1kmN2288E4845,117,179,487,7780,291,7489,174,620,193,75,38623,831,37792,817,4244,689,376
1kmN2288E4846,27,208,482,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2288E4847,3,5,16,268,0,268,13,32,11,10,1611,0,1611,35,240,48,38
1kmN2288E4848,47,97,258,2834,70,2764,74,302,125,38,15921,355,15566,473,2242,568,186
1kmN2288E4849,86,555,1627,35584,586,34998,1705,10064,2072,1175,157081,1975,155106,8686,49451,5737,5624
1kmN2288E4850,196,452,1247,16943,1942,15001,536,1534,473,300,91512,5059,86453,2680,11129,2013,1303
1kmN2288E4851,18,29,111,815,20,795,49,108,4,0,6394,132,6262,408,995,16,0
1kmN2288E4852,11,27,70,849,43,806,27,107,39,7,5197,230,4967,155,1110,164,21
1kmN2288E4855,16,23,98,796,2,794,59,304,0,1,7146,10,7136,509,3152,0,14
1kmN2288E4856,1,1,5,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2288E4875,2,2,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2288E4877,2,2,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2288E4878,1,1,5,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2288E4894,2,7,19,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2288E4900,8,15,54,294,0,294,16,118,0,0,3003,0,3003,214,1520,0,0
1kmN2288E4901,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2288E4905,15,55,135,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2288E4909,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4801,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4802,147,356,1125,9895,408,9487,483,1070,171,505,75667,2358,73309,3263,9480,1075,3971
1kmN2289E4803,82,192,590,4664,235,4429,242,297,62,237,39445,2154,37291,2024,2905,458,1898
1kmN2289E4804,23,60,177,1491,133,1358,25,117,29,64,11498,847,10651,232,1098,247,474
1kmN2289E4805,102,238,790,6439,333,6106,173,758,43,297,52860,2345,50515,1431,7839,269,2401
1kmN2289E4806,3,4,14,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4814,4,4,12,103,4,99,7,60,0,0,905,20,885,37,640,0,0
1kmN2289E4815,3,5,11,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4818,10,14,44,270,12,258,0,53,15,0,2314,56,2258,0,669,61,0
1kmN2289E4819,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4824,1,1,5,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4825,10,14,47,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4826,51,93,269,3008,102,2906,69,351,147,38,15730,439,15291,433,2476,598,206
1kmN2289E4827,50,78,273,2292,47,2245,49,384,91,75,15288,205,15083,326,3775,415,589
1kmN2289E4828,19,55,136,1459,429,1030,36,107,48,74,7432,872,6560,239,976,231,463
1kmN2289E4840,1,1,3,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4841,403,524,1337,28810,731,28079,207,1569,941,131,98503,2586,95917,563,6286,2950,367
1kmN2289E4842,2346,4599,11491,377868,26625,351243,3576,17152,12406,2750,952620,54352,898268,9094,54422,29885,6436
1kmN2289E4843,201,355,863,26260,5034,21226,218,1076,869,387,68935,8535,60400,738,3522,2339,760
1kmN2289E4844,78,88,244,2977,137,2840,30,179,208,20,12282,638,11644,135,776,898,76
1kmN2289E4845,134,181,505,7408,514,6894,81,481,502,89,28716,1660,27056,243,2565,1600,340
1kmN2289E4846,87,104,289,4027,267,3760,65,320,213,35,17293,902,16391,231,1938,752,192
1kmN2289E4847,14,28,97,1120,11,1109,18,88,43,1,5405,47,5358,45,425,179,1
1kmN2289E4848,53,82,264,2535,104,2431,74,245,102,59,16485,740,15745,455,1848,463,304
1kmN2289E4849,40,83,239,2763,272,2491,28,225,134,38,14679,879,13800,173,1631,703,159
1kmN2289E4850,61,108,339,3201,210,2991,97,400,106,62,20169,1031,19138,574,3182,608,295
1kmN2289E4855,5,6,22,215,11,204,4,37,3,0,1269,55,1214,56,296,4,0
1kmN2289E4858,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4859,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4866,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4871,1,2,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4875,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4877,2,5,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4882,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4883,1,4,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4899,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2289E4907,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4801,16,32,85,678,32,646,19,48,3,31,5645,235,5410,169,503,29,215
1kmN2290E4802,11,17,48,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4806,1,1,2,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4807,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4815,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4816,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4824,3,6,15,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4828,2,7,19,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4829,2,6,15,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4830,1,4,9,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4831,2,5,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4841,7,7,24,383,26,357,5,7,26,4,1342,65,1277,7,26,84,8
1kmN2290E4842,44,46,134,2002,128,1874,14,127,60,6,7889,624,7265,65,519,171,18
1kmN2290E4843,71,172,377,33722,4706,29016,85,518,640,215,53765,7523,46242,206,1724,1528,452
1kmN2290E4844,44,46,140,1671,104,1567,22,119,131,17,6445,537,5908,68,729,434,57
1kmN2290E4845,25,34,87,759,45,714,4,52,82,8,3214,121,3093,7,350,315,9
1kmN2290E4846,17,18,48,577,45,532,2,55,23,6,2566,212,2354,6,279,138,39
1kmN2290E4847,18,20,70,714,31,683,3,31,44,12,3272,67,3205,6,170,167,25
1kmN2290E4849,7,9,34,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4850,25,34,122,965,71,894,24,142,44,17,6423,501,5922,127,1403,167,163
1kmN2290E4851,2,4,13,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4854,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4875,1,4,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4877,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4882,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4886,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4898,3,6,20,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4905,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4907,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4908,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2290E4910,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2291E4804,2,6,15,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2291E4829,4,4,19,100,0,100,17,29,0,0,956,0,956,140,351,0,0
1kmN2291E4831,3,8,28,310,28,282,0,18,3,16,2121,64,2057,0,127,25,93
1kmN2291E4843,9,12,30,271,7,264,0,22,16,5,1723,29,1694,0,128,58,36
1kmN2291E4844,4,4,11,102,7,95,0,1,12,0,673,17,656,0,3,109,0
1kmN2291E4845,2,3,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2291E4846,1,1,2,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2291E4847,3,8,21,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2291E4848,1,1,2,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2291E4849,9,12,45,396,4,392,15,28,3,7,2650,26,2624,148,209,19,7
1kmN2291E4850,25,44,128,851,17,834,14,154,12,2,6089,96,5993,124,1434,75,24
1kmN2291E4851,8,11,35,252,0,252,0,25,11,0,1937,0,1937,0,290,73,0
1kmN2291E4852,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2291E4855,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2291E4856,6,12,36,259,0,259,11,89,0,0,2239,0,2239,77,964,0,0
1kmN2291E4884,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2291E4902,1,4,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2291E4906,2,4,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2292E4828,12,19,82,330,15,315,0,74,4,7,2634,100,2534,0,704,8,47
1kmN2292E4829,1,2,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2292E4831,2,4,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2292E4832,49,89,270,2279,154,2125,54,196,31,185,16706,1155,15551,351,1797,174,1997
1kmN2292E4833,195,702,1958,23669,1922,21747,397,1937,414,1983,132122,7449,124673,2629,14937,1230,13970
1kmN2292E4834,11,19,53,885,17,868,11,124,5,60,4432,95,4337,48,710,30,377
1kmN2292E4843,1,1,3,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2292E4844,2,2,7,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2292E4845,1,1,3,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2292E4846,5,6,20,87,15,72,0,4,6,0,577,211,366,0,12,28,0
1kmN2292E4847,8,8,33,203,63,140,0,43,6,0,1418,468,950,0,401,36,0
1kmN2292E4848,8,15,51,523,5,518,10,91,0,0,3683,25,3658,80,809,0,0
1kmN2292E4849,13,24,71,726,0,726,46,193,0,6,5876,0,5876,319,1770,0,30
1kmN2292E4867,2,2,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2292E4883,4,5,24,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2293E4799,19,35,94,821,52,769,30,107,29,9,6029,380,5649,197,922,204,63
1kmN2293E4802,5,11,22,129,46,83,13,6,14,7,886,298,588,112,63,67,46
1kmN2293E4805,1,2,7,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2293E4819,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2293E4827,4,5,18,95,1,94,0,55,1,0,988,13,975,0,687,18,0
1kmN2293E4828,6,6,24,150,0,150,0,26,0,0,1084,0,1084,0,216,0,0
1kmN2293E4831,5,8,29,219,0,219,18,41,0,0,2079,0,2079,158,405,0,0
1kmN2293E4832,19,29,105,653,9,644,46,144,0,17,5665,84,5581,353,1515,0,109
1kmN2293E4833,125,204,650,4984,292,4692,161,933,163,90,36736,1775,34961,1332,9257,658,652
1kmN2293E4834,146,295,878,7182,320,6862,125,776,213,233,44733,1630,43103,743,6331,785,1541
1kmN2293E4835,153,368,1022,12827,1200,11627,359,1134,383,287,65554,3871,61683,1815,8081,1344,1705
1kmN2293E4836,35,73,228,4072,474,3598,166,447,86,114,17402,1162,16240,824,2425,280,614
1kmN2293E4837,171,317,980,13684,1825,11859,562,1279,364,399,62951,5297,57654,1993,9465,1570,1921
1kmN2293E4838,95,129,442,3351,103,3248,96,445,82,48,23888,528,23360,683,4494,398,373
1kmN2293E4839,12,14,49,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2293E4840,83,124,394,3476,252,3224,95,460,137,67,22359,912,21447,605,4189,651,294
1kmN2293E4841,6,7,31,258,1,257,0,12,17,1,1927,1,1926,0,65,178,20
1kmN2293E4842,5,6,23,117,4,113,0,34,9,0,851,84,767,0,308,54,0
1kmN2293E4844,44,209,554,18860,3677,15183,104,596,388,374,40819,7358,33461,334,2983,1047,802
1kmN2293E4845,6,7,30,366,88,278,4,4,15,12,1472,145,1327,20,15,84,34
1kmN2293E4846,7,8,29,189,7,182,5,29,9,0,1462,61,1401,45,279,34,0
1kmN2294E4799,30,415,942,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2294E4800,475,1718,5163,55829,2832,52997,4476,9666,1754,3843,382702,17902,364800,30125,69758,9067,31557
1kmN2294E4801,2,7,18,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2294E4802,6,16,52,387,29,358,47,46,16,5,3043,232,2811,336,411,104,32
1kmN2294E4809,1,2,9,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2294E4830,1,4,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2294E4831,5,13,41,373,7,366,13,63,11,0,2950,71,2879,89,761,77,0
1kmN2294E4832,11,20,69,533,28,505,53,146,1,3,4274,29,4245,405,1457,7,30
1kmN2294E4833,12,16,66,436,1,435,27,96,5,0,3630,3,3627,195,984,35,0
1kmN2294E4834,17,29,107,749,13,736,15,175,15,9,6027,40,5987,105,1723,122,39
1kmN2294E4835,9,13,48,358,0,358,4,82,15,3,3231,0,3231,19,928,194,12
1kmN2294E4836,5,7,30,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2294E4837,14,20,64,576,4,572,57,107,10,0,4519,32,4487,401,991,69,0
1kmN2294E4838,12,18,68,543,4,539,37,28,17,6,3774,16,3758,245,171,155,12
1kmN2294E4839,1,2,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2294E4840,8,12,47,492,22,470,0,69,14,23,3004,97,2907,0,660,98,79
1kmN2294E4841,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2294E4846,2,4,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2294E4847,12,17,52,504,51,453,20,88,14,4,3190,141,3049,103,783,49,40
1kmN2294E4865,2,2,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2294E4880,4,12,27,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2294E4895,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2295E4799,6,21,49,523,3,520,10,90,5,23,3956,20,3936,100,816,59,159
1kmN2295E4800,45,126,359,2615,109,2506,175,273,30,73,18866,772,18094,1157,2273,161,584
1kmN2295E4802,4,4,10,88,15,73,2,16,4,4,650,93,557,6,119,12,28
1kmN2295E4807,2,4,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2295E4812,1,5,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2295E4814,1,2,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2295E4833,5,6,28,176,9,167,0,31,0,1,1175,45,1130,0,317,0,6
1kmN2295E4837,1,2,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2295E4846,5,9,35,273,2,271,0,65,8,0,2375,16,2359,0,635,50,0
1kmN2295E4847,3,5,14,84,1,83,2,17,0,0,710,2,708,12,128,0,0
1kmN2295E4848,5,6,27,167,5,162,25,22,7,2,1079,18,1061,152,230,22,7
1kmN2295E4849,1,2,9,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2295E4881,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2296E4799,9,34,86,1428,102,1326,54,85,18,118,9897,440,9457,420,686,82,778
1kmN2296E4800,2,6,22,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2296E4814,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2296E4849,2,5,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2296E4859,2,2,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2296E4863,1,4,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2296E4884,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2297E4800,9,19,63,540,22,518,27,33,26,10,4123,139,3984,222,312,170,58
1kmN2297E4804,2,2,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2297E4821,2,4,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2297E4830,4,9,24,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2297E4848,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2298E4799,165,461,1366,10750,394,10356,599,1407,347,334,83346,2378,80968,4391,13179,2679,2390
1kmN2298E4803,1,1,2,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2298E4822,1,4,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2298E4824,1,4,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2298E4839,1,2,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2298E4847,2,5,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2298E4853,13,208,445,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2298E4861,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2298E4867,2,7,18,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2298E4870,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2298E4884,1,3,7,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2299E4800,1,1,2,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2299E4801,26,58,186,1212,75,1137,43,143,11,196,11405,666,10739,365,1906,117,1797
1kmN2299E4802,303,765,2252,16279,1448,14831,622,1651,366,2103,138724,11847,126877,6058,17844,2925,19780
1kmN2299E4817,2,2,5,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2299E4843,5,10,27,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2299E4859,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2299E4861,1,6,11,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2299E4867,1,1,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2300E4777,25,44,119,754,191,563,53,63,32,273,6625,1474,5151,477,799,191,2578
1kmN2300E4778,1,2,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2300E4779,1,1,2,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2300E4802,3,4,12,70,5,65,0,0,2,5,418,24,394,0,0,8,5
1kmN2300E4850,5,13,40,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2300E4857,1,2,10,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2300E4862,1,1,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2300E4864,3,11,21,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2301E4819,1,2,8,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2301E4821,3,5,15,78,0,78,12,17,0,0,679,0,679,98,146,0,0
1kmN2301E4822,2,2,12,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2301E4840,1,2,3,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2301E4858,3,6,18,101,2,99,3,19,0,0,897,18,879,15,187,0,0
1kmN2301E4883,2,7,14,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2302E4800,3,8,24,54,0,54,2,4,1,0,526,0,526,12,28,7,0
1kmN2302E4801,24,78,255,1968,164,1804,105,450,69,303,14989,1102,13887,887,4306,349,2509
1kmN2302E4814,1,3,6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2302E4853,4,15,36,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1kmN2302E4861,1,2,4,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
