x,y,resolution,ms_pop
3817000,3128000,1000,39
3817000,3129000,1000,6
3817000,3130000,1000,8
3817000,3131000,1000,94
3817000,3132000,1000,63
3817000,3134000,1000,5
3817000,3135000,1000,19
3817000,3136000,1000,9
3817000,3137000,1000,22
3817000,3138000,1000,24
3817000,3139000,1000,18
3817000,3140000,1000,23
3817000,3142000,1000,228
3817000,3143000,1000,209
3818000,3091000,1000,32
3818000,3092000,1000,144
3818000,3093000,1000,5
3818000,3094000,1000,21
3818000,3095000,1000,16
3818000,3096000,1000,16
3818000,3097000,1000,13
3818000,3098000,1000,22
3818000,3099000,1000,28
3818000,3100000,1000,17
3818000,3101000,1000,21
3818000,3102000,1000,40
3818000,3103000,1000,39
3818000,3104000,1000,79
3818000,3105000,1000,40
3818000,3106000,1000,49
3818000,3107000,1000,17
3818000,3109000,1000,29
3818000,3110000,1000,23
3818000,3111000,1000,206
3818000,3112000,1000,172
3818000,3113000,1000,83
3818000,3114000,1000,103
3818000,3115000,1000,33
3818000,3116000,1000,23
3818000,3117000,1000,27
3818000,3119000,1000,55
3818000,3120000,1000,52
3818000,3121000,1000,10
3818000,3123000,1000,20
3818000,3124000,1000,13
3818000,3125000,1000,10
3818000,3127000,1000,35
3818000,3128000,1000,16
3818000,3129000,1000,7
3818000,3130000,1000,24
3818000,3131000,1000,9
3818000,3132000,1000,12
3818000,3133000,1000,16
3818000,3134000,1000,16
3818000,3136000,1000,7
3818000,3137000,1000,56
3818000,3138000,1000,22
3818000,3139000,1000,10
3818000,3140000,1000,72
3818000,3141000,1000,8
3818000,3142000,1000,98
3818000,3144000,1000,8
3819000,3093000,1000,409
3819000,3094000,1000,47
3819000,3095000,1000,20
3819000,3096000,1000,27
3819000,3097000,1000,7
3819000,3098000,1000,20
3819000,3099000,1000,385
3819000,3100000,1000,19
3819000,3101000,1000,4
3819000,3102000,1000,350
3819000,3103000,1000,50
3819000,3104000,1000,114
3819000,3107000,1000,687
3819000,3108000,1000,38
3819000,3109000,1000,14
3819000,3112000,1000,59
3819000,3113000,1000,33
3819000,3114000,1000,50
3819000,3115000,1000,63
3819000,3116000,1000,20
3819000,3117000,1000,278
3819000,3118000,1000,665
3819000,3119000,1000,44
3819000,3120000,1000,35
3819000,3121000,1000,11
3819000,3124000,1000,20
3819000,3125000,1000,35
3819000,3126000,1000,17
