x,y,0_15,0_5,100_,15_20,20_25,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,ld25_30,m,pop
3,93,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,3,6
3,94,3,0,0,0,0,0,3,0,0,0,3,3,0,3,3,3,0,0,0,0,9,0,9,18
3,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
3,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,8
4,2,3,0,0,0,0,0,0,3,3,0,0,3,0,3,0,0,0,0,0,0,8,0,8,16
4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,6
4,20,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,6
4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4,22,40,32,3,41,48,33,17,38,38,49,41,24,47,29,57,53,37,23,13,6,352,34,347,699
4,23,35,33,0,51,26,41,25,34,40,50,39,38,37,29,50,29,26,8,3,0,299,31,323,622
4,41,0,0,0,0,0,0,0,0,0,3,5,0,3,0,3,0,0,0,0,0,6,0,9,15
4,47,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
4,48,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,6,10
4,54,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
4,55,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,3,0,0,3,0,7,10
4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,6,9
4,67,3,0,0,3,0,0,0,0,4,3,0,3,4,3,3,0,0,0,0,0,13,3,18,31
4,68,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
4,71,0,3,0,0,0,3,0,3,3,5,6,0,3,6,5,3,3,0,0,0,17,7,23,40
4,92,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,3,6
4,102,0,0,0,0,3,0,0,0,3,6,4,0,4,4,5,0,0,3,0,0,11,0,17,28
4,127,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,5,8
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
5,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,6,0,6,12
5,4,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,0,4,7
5,5,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,3,3
5,6,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,3,8
5,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,5
5,20,0,6,0,3,0,3,0,3,3,10,7,3,3,4,5,3,0,0,0,0,28,3,31,59
5,21,0,3,0,0,0,3,0,0,0,0,3,3,3,3,3,3,0,0,0,0,6,0,15,21
5,22,12,9,0,4,5,9,8,7,3,7,11,15,8,9,10,15,0,3,0,0,78,10,71,149
5,23,0,0,0,0,0,3,0,3,0,0,3,0,4,3,0,3,0,0,0,0,7,0,10,17
5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3
5,35,0,0,0,0,0,3,0,0,0,0,3,3,3,4,3,0,0,0,0,0,9,0,8,17
5,47,0,0,0,3,0,3,0,0,0,6,3,0,6,3,0,0,3,0,0,0,13,3,16,29
5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3
5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,6
