lat,lng,continent
13.21969,5.26596,AF
24.73701,69.79707,AS
46.5,23.65,EU
33.41217,-82.67517,NA
46.7,26.75,EU
49.98001,23.55848,EU
47.65552,19.43229,EU
42.36988,-2.54525,EU
13.2322,121.1203,AS
45.58484,4.87795,EU
52.9995,31.6023,EU
53.2485,40.2871,EU
35.87347,-79.48169,NA
41.88343,-74.1132,NA
15.39485,120.66573,AS
41.95068,12.075,EU
42.87601,-6.4315,EU
48.97674,2.32722,EU
-11.0925,-77.62667,SA
18.03302,-66.42434,NA
45.11414,40.28027,EU
51.49496,11.36023,EU
43.55989,12.11271,EU
25.30944,116.34472,AS
50.8,11.53333,EU
-6.4367,111.0032,AS
44.53658,8.69896,EU
30.29437,-87.57359,NA
46.0696,21.61899,EU
38.00333,140.61833,AS
45.68841,9.47109,EU
38.89453,-0.31993,EU
46.27785,38.47955,EU
45.33333,97.98333,AS
28.08761,108.68965,AS
39.27484,8.6411,EU
29.80157,113.00618,AS
37.14649,14.39381,EU
-12.46113,130.84185,OC
34.1691,73.7432,AS
21.85125,104.08954,AS
51.13828,12.81848,EU
45.91134,13.32416,EU
58.30194,-134.41972,NA
60.34127,30.49551,EU
49.79528,5.94111,EU
11.60553,78.00665,AS
-31.75871,115.73601,OC
40.97561,-78.52502,NA
32.8035,113.4734,AS
33.60247,131.17599,AS
47.07545,22.78084,EU
52.51293,-1.45487,EU
41.02852,-4.1813,EU
44.87393,25.9816,EU
47.04431,26.82891,EU
47.21667,20.31667,EU
-24.30921,-64.66253,SA
19.36694,-98.93917,NA
47.62524,-1.75105,EU
46.07011,11.48022,EU
40.87676,-73.32456,NA
47.5195,8.7564,EU
48.04578,10.49222,EU
19.91274,77.57838,AS
9.40079,-0.8393,AF
23.37074,85.86236,AS
45.05057,8.26277,EU
53.95,10.33333,EU
41.98349,-3.82553,EU
52.35,8.23333,EU
34.34264,61.74675,AS
51.60799,-3.10081,EU
24.29188,-103.39272,NA
2.1524,98.4745,AS
48.59978,124.1036,AS
-37.80819,144.87911,OC
41.03556,36.23556,EU
32.47835,74.35338,AS
0.34314,-76.91124,SA
47.22415,0.57963,EU
55.60928,36.98212,EU
50.68596,-3.46696,EU
38.97718,-5.04969,EU
-8.8366,121.6518,AS
2.89167,-75.4375,SA
48.47424,-0.97255,EU
34.42944,109.6723,AS
-37.7008,144.56025,OC
46.69411,32.55371,EU
32.87559,119.76138,AS
24.18561,86.30772,AS
44.31494,9.99507,EU
25.18909,-99.82865,NA
40.18705,-75.08156,NA
33.99251,-117.51644,NA
44.8354,33.96159,EU
40.66939,122.2388,AS
15.45392,120.41048,AS
45.49818,8.87635,EU
45.43123,-122.77149,NA
-8.1946,112.23207,AS
13.35819,5.23812,AF
45.96028,14.52889,EU
24.04893,115.37568,AS
40.38944,19.60222,EU
43.48307,5.61959,EU
43.76899,1.53362,EU
9.22899,8.45807,AF
-33.89512,-61.1011,SA
36.37441,106.58348,AS
40.88269,-4.7165,EU
42.03102,13.07185,EU
19.56341,-98.85681,NA
55.48333,86.2,EU
