x,y,value
2814,5002,1
2834,5002,9
2874,5002,657
2884,5002,1
2914,5002,5
2924,5002,7
2954,5002,36
2964,5002,17
2974,5002,70
2984,5002,2
2994,5002,23
3004,5002,24
3064,5002,41
3074,5002,2
3094,5002,4
3104,5002,83
3124,5002,2
3134,5002,1
3184,5002,4
4454,5002,216
4464,5002,5563
4474,5002,2176
4494,5002,447
4514,5002,206
4544,5002,138
4554,5002,595
4564,5002,284
4584,5002,921
4744,5002,5833
4754,5002,5270
4764,5002,1139
4774,5002,73
4794,5002,2
4834,5002,35
4844,5002,57
4864,5002,33
4884,5002,1
4894,5002,9
4914,5002,418
4924,5002,81
4934,5002,3
4954,5002,31
4974,5002,17
4984,5002,78
4994,5002,4
5004,5002,102
5014,5002,193
5024,5002,5355
5034,5002,135
5044,5002,91
5054,5002,1
5084,5002,34
5094,5002,497
5104,5002,132
5114,5002,32
5124,5002,13
5144,5002,32
2814,4992,48
2824,4992,71
2874,4992,1
2904,4992,34
2914,4992,3
2924,4992,5
2934,4992,1
2954,4992,39
2974,4992,59
2994,4992,299
3004,4992,35
3054,4992,611
3064,4992,399
3074,4992,3
3084,4992,11
3094,4992,6
3184,4992,31
3194,4992,413
4444,4992,93
4454,4992,584
4464,4992,1127
4474,4992,62
4534,4992,16
4544,4992,326
4554,4992,44
4564,4992,197
4574,4992,349
4584,4992,3
4694,4992,20
4704,4992,1
4714,4992,14
4724,4992,9
4734,4992,78
4744,4992,428
4754,4992,6393
4764,4992,48
4774,4992,1
4804,4992,2
4814,4992,818
4824,4992,5
4844,4992,3
4854,4992,1
4864,4992,42
4894,4992,117
4904,4992,29
4914,4992,66
4924,4992,286
4934,4992,23
4944,4992,6
4954,4992,303
4994,4992,3
5004,4992,222
5014,4992,33
5024,4992,8
5034,4992,176
5044,4992,1
5054,4992,8
5064,4992,107
5074,4992,48
5084,4992,29
5094,4992,2
5124,4992,87
5134,4992,135
5144,4992,9
2834,4982,15
2904,4982,6
2954,4982,5
2984,4982,2
2994,4982,41
3004,4982,14
3014,4982,32
3034,4982,1
3054,4982,17618
3064,4982,26
3074,4982,2
3084,4982,22
3094,4982,45
3194,4982,32
4444,4982,351
4454,4982,161
4524,4982,269
4534,4982,573
4544,4982,75
4554,4982,15
4564,4982,54
4574,4982,24
4584,4982,21
4594,4982,1
4634,4982,2
4744,4982,76
4754,4982,7
4784,4982,431
4804,4982,1
4814,4982,9
4824,4982,37
4834,4982,9
4844,4982,17
4854,4982,20
4894,4982,74
4904,4982,155
4914,4982,5
4924,4982,137
4934,4982,112
4954,4982,154
4974,4982,27
4984,4982,25
4994,4982,51
5004,4982,195
5014,4982,5
5024,4982,6
5034,4982,143
5044,4982,98
5054,4982,3
5064,4982,26
5074,4982,473
5094,4982,1
5114,4982,10
5124,4982,36
5134,4982,42
5144,4982,71
2834,4972,1
2874,4972,1
3044,4972,93
3054,4972,850
3064,4972,6
3084,4972,415
3094,4972,399
4444,4972,754
4514,4972,2
4524,4972,162
4534,4972,69
4544,4972,51
4564,4972,1
4574,4972,5
4784,4972,6
4794,4972,17
4814,4972,53
4824,4972,3
4834,4972,39
4844,4972,12
4854,4972,435
4864,4972,10
4874,4972,2
4894,4972,125
4904,4972,292
4914,4972,600
4924,4972,30
4934,4972,3
4954,4972,22
4964,4972,26
4974,4972,73
4984,4972,131
4994,4972,42
5014,4972,27
5024,4972,21
5034,4972,66
5044,4972,5
5064,4972,121
5084,4972,10
5094,4972,33
5104,4972,76
5114,4972,60
5124,4972,121
5134,4972,133
5144,4972,16
2824,4962,5
2834,4962,2
3044,4962,37
3074,4962,2
3104,4962,364
3114,4962,15
3214,4962,99
4524,4962,479
4534,4962,678
4544,4962,133
4554,4962,1
4564,4962,129
4574,4962,3
4634,4962,9
4744,4962,83
4754,4962,22
4794,4962,190
4824,4962,7
4834,4962,61
4844,4962,9
4854,4962,215
4864,4962,56
4874,4962,15
4884,4962,26
4894,4962,17
4904,4962,106
4914,4962,682
4924,4962,162
4934,4962,65
4954,4962,112
4964,4962,122
4974,4962,48
4984,4962,22
4994,4962,81
5004,4962,2
5024,4962,15
5034,4962,79
5064,4962,82
5074,4962,184
5084,4962,9
5094,4962,34
5104,4962,48
5124,4962,215
5134,4962,1941
5144,4962,4
5154,4962,72
2824,4952,1
2834,4952,19
2844,4952,160
2854,4952,1
2864,4952,4
2874,4952,1
2934,4952,1
2944,4952,5
3094,4952,6
4434,4952,179
4524,4952,17
4534,4952,68
4564,4952,28
4574,4952,39
4784,4952,10
4794,4952,208
4814,4952,36
4824,4952,33
4844,4952,71
4854,4952,11
4864,4952,61
4874,4952,37
4884,4952,214
4894,4952,2049
4904,4952,134
4914,4952,24
4924,4952,399
4934,4952,26
4944,4952,77
4954,4952,17
4964,4952,5
4974,4952,59
4984,4952,4
4994,4952,22
5004,4952,10
5014,4952,16
5024,4952,33
5054,4952,37
5064,4952,7
5074,4952,103
5084,4952,66
5104,4952,26
5114,4952,237
5134,4952,34
5144,4952,6
5154,4952,22
5164,4952,10
2824,4942,3
2834,4942,1874
2844,4942,1384
2854,4942,56
2874,4942,8
3134,4942,1
4434,4942,543
4524,4942,21
4534,4942,7
4544,4942,2
4554,4942,82
4564,4942,96
4574,4942,4
4784,4942,241
4794,4942,14
4814,4942,60
4824,4942,104
4844,4942,20
4854,4942,8
4864,4942,414
4884,4942,57
4894,4942,76
4904,4942,43
4914,4942,39
4924,4942,108
4944,4942,25
4954,4942,11
4974,4942,17
4984,4942,107
4994,4942,3
5014,4942,2
5024,4942,54
5074,4942,708
5084,4942,1694
5094,4942,46
5104,4942,135
5114,4942,29
5124,4942,4
5144,4942,1
5154,4942,39
5164,4942,3
2824,4932,1356
2834,4932,208
2844,4932,1
2854,4932,2
3184,4932,2
3194,4932,663
4404,4932,602
4524,4932,299
4534,4932,8
4544,4932,10
4554,4932,432
4564,4932,32
4704,4932,7
4754,4932,3
4764,4932,6
4784,4932,867
4794,4932,39
4814,4932,57
4824,4932,10
4834,4932,24
4844,4932,5
4864,4932,37
4884,4932,3
4894,4932,305
4904,4932,46
4914,4932,136
4924,4932,99
4934,4932,28
4974,4932,67
4984,4932,132
4994,4932,154
5004,4932,14
5014,4932,7
5024,4932,57
5034,4932,48
5054,4932,2
5064,4932,41
5074,4932,77
5084,4932,3976
5094,4932,414
5104,4932,65
5114,4932,12
5134,4932,80
5144,4932,61
5154,4932,176
5164,4932,26
5174,4932,4
2814,4922,402
