x,y,value
23,72,989453
23,73,989432
23,74,981821
23,75,981821
23,76,983619
23,77,935406
23,78,935406
23,80,431761
23,81,431761
23,82,431761
23,87,656284
23,88,656284
23,89,662261
23,90,661811
23,91,664570
23,92,23206
23,93,23206
23,98,371154
23,99,371154
23,100,371154
23,101,581526
23,102,687853
23,103,687853
23,104,191636
23,119,101436
23,120,101436
23,121,101894
23,122,97167
23,123,97167
24,35,143739
24,36,143739
24,37,144564
24,38,144564
24,39,144564
24,40,144564
24,45,1074405
24,46,1074405
24,47,1075853
24,48,1074216
24,49,1074216
24,50,1096769
24,51,1096769
24,52,1096769
24,55,1074497
24,56,1074497
24,57,1074497
24,58,1183796
24,59,1183796
24,60,1183796
24,62,1146729
24,63,1146729
24,64,1146729
24,70,989453
24,71,989453
24,72,989453
24,73,989453
24,74,986869
24,75,981821
24,76,983619
24,77,935406
24,78,935406
24,80,431761
24,81,431761
24,82,431761
24,89,661811
24,90,661811
24,91,661811
24,98,371154
24,99,371154
24,100,371154
24,102,191636
24,103,191636
24,104,191636
24,119,101436
24,120,101436
24,121,101894
24,122,97167
24,123,97167
25,37,144498
25,38,144564
25,39,144564
25,40,144564
25,41,104250
25,42,104250
25,43,686945
25,44,686945
25,45,686945
25,50,1096769
25,51,1096769
25,52,1096769
25,55,1074497
25,56,1074497
25,57,1074497
25,58,1183796
25,59,1183796
25,60,1183796
25,70,834035
25,71,834035
25,72,915572
25,73,915164
25,74,986869
25,75,981821
25,76,981821
25,80,431761
25,81,431761
25,82,431761
25,87,232919
25,88,232919
25,89,670673
25,90,661811
25,91,661811
25,98,371154
25,99,371154
25,100,371154
25,102,191636
25,103,191636
25,104,191636
25,121,97167
25,122,97748
25,123,97748
25,124,97503
26,37,144498
26,38,144564
26,39,144564
26,40,144564
26,41,353383
26,42,353383
26,43,687429
26,44,845718
26,45,845718
26,46,845514
26,50,1096769
26,51,1096769
26,52,1142557
26,53,1141548
26,54,1141548
26,56,1088795
26,57,1088795
26,58,1188005
26,59,1174984
26,60,1174984
26,62,1231376
26,63,1231376
26,64,1359684
