x,y,2018,2011
96,77,0.0,3.0
96,59,46.0,5.0
96,101,0.0,3.0
96,124,46.0,65.0
96,102,0.0,28.0
96,103,0.0,17.0
96,125,0.0,12.0
96,126,0.0,59.0
96,104,0.0,11.0
96,80,0.0,1.0
96,60,387.0,65.0
96,61,34.0,158.0
96,84,19.0,4.0
96,62,26.0,22.0
96,63,66.0,20.0
96,85,232.0,86.0
96,86,6.0,12.0
96,65,23.0,22.0
96,87,8.0,16.0
97,88,39.0,175.0
97,66,0.0,1.0
97,89,254.0,330.0
97,67,21.0,94.0
97,68,35.0,51.0
97,69,3.0,30.0
97,110,0.0,28.0
97,112,0.0,17.0
97,113,0.0,1.0
97,114,0.0,19.0
97,90,19.0,48.0
97,118,0.0,36.0
97,91,21.0,46.0
97,119,0.0,58.0
97,92,72.0,178.0
97,70,0.0,8.0
97,93,0.0,80.0
97,71,0.0,14.0
97,72,6.0,0
97,75,17.0,0
97,98,0.0,6.0
97,99,0.0,8.0
97,59,1336.0,403.0
97,123,0.0,8.0
97,102,0.0,18.0
97,124,0.0,22.0
97,103,0.0,12.0
97,125,0.0,10.0
97,126,153.0,50.0
97,80,0.0,3.0
97,82,0.0,12.0
97,109,0.0,3.0
97,83,0.0,58.0
97,84,25.0,73.0
97,63,20.0,5.0
97,85,30.0,43.0
97,64,0.0,8.0
97,87,0.0,14.0
97,65,0.0,7.0
98,66,0.0,9.0
98,88,12.0,108.0
98,89,23.0,155.0
98,67,65.0,11.0
98,68,31.0,17.0
98,69,4.0,7.0
98,110,19.0,61.0
98,112,21.0,65.0
98,113,0.0,20.0
98,114,0.0,4.0
98,90,98.0,128.0
98,91,6.0,155.0
98,118,6.0,103.0
98,119,0.0,5.0
98,70,0.0,4.0
98,71,0.0,4.0
98,93,0.0,3.0
98,78,0.0,8.0
98,58,275.0,102.0
98,59,1867.0,1093.0
98,120,0.0,5.0
98,100,0.0,32.0
98,123,0.0,64.0
98,124,0.0,1.0
98,102,31.0,96.0
98,125,0.0,18.0
98,103,31.0,59.0
98,104,12.0,26.0
98,126,33.0,22.0
98,80,0.0,4.0
98,108,0.0,5.0
98,81,0.0,5.0
98,60,0.0,2.0
98,82,0.0,48.0
98,109,0.0,8.0
98,83,12.0,19.0
98,84,100.0,61.0
98,62,87.0,15.0
98,85,252.0,118.0
98,63,0.0,1.0
98,64,6.0,1.0
98,65,0.0,4.0
10,89,27.0,28.0
10,78,4.0,4.0
10,79,22.0,22.0
10,120,8.0,10.0
10,121,104.0,127.0
10,100,29.0,13.0
10,122,66.0,75.0
10,101,62.0,38.0
10,113,827.0,805.0
10,124,196.0,235.0
10,114,1276.0,1226.0
10,125,13.0,16.0
10,126,64.0,80.0
10,127,119.0,126.0
10,117,14.0,17.0
10,90,365.0,382.0
10,118,90.0,110.0
10,81,103.0,104.0
10,119,4.0,4.0
11,89,55.0,60.0
11,79,8.0,7.0
11,120,46.0,56.0
11,121,174.0,198.0
11,100,8.0,6.0
11,112,430.0,412.0
11,101,64.0,66.0
11,113,73.0,61.0
11,102,4.0,4.0
11,125,65.0,81.0
11,114,131.0,113.0
11,126,165.0,190.0
11,127,20.0,19.0
11,116,6.0,9.0
11,90,205.0,225.0
11,117,74.0,93.0
11,118,50.0,58.0
11,119,14.0,17.0
11,81,330.0,333.0
11,92,9.0,8.0
99,88,0.0,24.0
99,66,0.0,2.0
99,89,47.0,92.0
99,67,0.0,3.0
99,68,0.0,4.0
99,69,0.0,1.0
99,110,90.0,91.0
99,111,97.0,45.0
99,112,2267.0,1911.0
99,113,10.0,10.0
99,114,0.0,8.0
99,116,0.0,27.0
99,90,39.0,74.0
99,91,0.0,5.0
99,92,0.0,11.0
99,71,0.0,13.0
99,72,5.0,20.0
99,94,12.0,6.0
99,75,0.0,12.0
99,98,0.0,2.0
99,77,91.0,0
99,57,13.0,18.0
99,58,279.0,224.0
99,59,19.0,46.0
99,122,0.0,14.0
99,100,0.0,8.0
